October 2022: Table 1
Product;Price OK Supermarket ZWL$;Price OK Supermarket USD$ (Estimated);;
All Purpose Cleaner 750ml;US$899,99 ;US$1.21;;
Bath soap Geisha 225g;US$540,00 ;US$0.73;;
Bath soap Jade 250g;US$540,00 ;US$0.73;;
Bath Soap Sona;US$540,00 ;US$0.73;;
Beans Dried 500g;US$820,99 ;US$1.11;;
Bleach/Jik 750ml;$1 677.99;US$2.26;;
Bread Bakers Inn;US$635,99 ;US$0.86;;
Bread Lobels;US$635,99 ;US$0.86;;
Bread Proton;US$635,99 ;US$0.86;;
Bread Shop;US$599,99 ;US$0.81;;
Candles 6pack 450g;$1 039.99;US$1.40;;
Cereal (Cerevita) 500g;$2 029.99;US$2.74;;
Cooking Oil 2l;$3 190.99;US$4.31;;
Creamer 1kg;$1 999.99;US$2.70;;
Diapers 50;$4 589.99;US$6.19;;
Dish Washer 750ml;US$782,99 ;US$1.06;;
Drink Bally House;$1 279.99;US$1.73;;
Drink Cheapest;US$639,99 ;US$0.86;;
Drink Mazoe Original 2l;$1 450.99;US$1.96;;
Drink Soul Sip;US$799,99 ;US$1.08;;
Eggs 30;$2 899.99;US$3.91;;
Eggs 6;US$829,99 ;US$1.12;;
Flour 2kg;$1 599.99;US$2.16;;
Green bar;US$907,99 ;US$1.23;;
Jam 375ml;US$579,99 ;US$0.78;;
Kapenta 1KG;$5 079.99;US$6.86;;
Kapenta 500g;$2 238.40;US$3.02;;
Lotion/Cream Camphor 300ml;$1 229.99;US$1.66;;
Macaroni 3kg;$2 147.99;US$2.90;;
Margarine 500g;US$849,99 ;US$1.15;;
Matches pack of 10 boxes;US$314,99 ;US$0.43;;
Mayonnaise 750g;$1 331.99;US$1.80;;
Mealie-meal 10kg;$3 940.00;US$5.32;;
Mealie-meal Refined 10kg;$4 450.99;US$6.01;;
Milk 1l;$1 669.99;US$2.25;;
Peanut butter 375ml;US$648,99 ;US$0.88;;
Petroleum Jelly 300ml;$1 184.97;US$1.60;;
Rice white/Long grain;US$902,99 ;US$1.22;;
Salt 1kg;US$227,99 ;US$0.31;;
Sanitary Pads 10s/8s;US$889,99 ;US$1.20;;
Scouring powder 500g;US$155,99 ;US$0.21;;
Shoe polish 100ml;$1 374.99;US$1.86;;
Shoe polish 50ml;US$737,99 ;US$1.00;;
Soup Usavi Mix 50g;US$298,99 ;US$0.40;;
Stasoft Refill (500ml);$1 960.99;US$2.65;;
Sugar 2kg;$1 079.99;US$1.46;;
Surface Cleaner 750ml;US$784,99 ;US$1.06;;
Tea 100 tea bags;US$717,99 ;US$0.97;;
Thai Rice 2kg;$1 011.99;US$1.37;;
Tinned beans 410g;US$344,99 ;US$0.47;;
Tinned fish 155g;US$593,99 ;US$0.80;;
Tissues (Pack of 4);US$527,99 ;US$0.71;;
Toilet Cleaner 500ml;US$829,99 ;US$1.12;;
Toothpaste 100ml;US$594,99 ;US$0.80;;
Washing Powder 1kg;$1 507.99;US$2.04;;
Washing Powder 2kg;$2 174.99;US$2.94;;

July 2022: Table 1
Product;Price OK Supermarket ZWL$;Price OK Supermarket USD$ (Estimated);;
All Purpose Cleaner 750ml;US$899,99 ;US$1.63;;
Bath soap Geisha 225g;US$540,00 ;US$0.98;;
Bath soap Jade 250g;US$540,00 ;US$0.98;;
Bath Soap Sona;US$540,00 ;US$0.98;;
Beans Dried 500g;US$820,99 ;US$1.49;;
Bleach/Jik 750ml;$1 677.99;US$3.05;;
Bread Bakers Inn;US$635,99 ;US$1.15;;
Bread Lobels;US$635,99 ;US$1.15;;
Bread Proton;US$635,99 ;US$1.15;;
Bread Shop;US$599,99 ;US$1.09;;
Candles 6pack 450g;$1 039.99;US$1.89;;
Cereal (Cerevita) 500g;$2 029.99;US$3.68;;
Cooking Oil 2l;$3 190.99;US$5.79;;
Creamer 1kg;$1 999.99;US$3.63;;
Diapers 50;$4 589.99;US$8.33;;
Dish Washer 750ml;US$782,99 ;US$1.42;;
